"","turf_algae","rock","hydrocoral","halimeda","cca","macroalgae","complex_octocoral","other_octocoral","seagrass","sponge","HC_complex","HC_encrusting","HC_plate","HC_other","HC_bleached","HC_dead","HC_massive_submass","unconsolidated_subs","Transect","Depth","Survey","Site_recode","Survey_recode","New_ID","total_macroalgae","total_hard_coral"
"1",12,32,0,0,0,0,12,0,0,2,0,30,12,0,0,0,0,0,"T1",65,"Feb-21","BOUG-01","Feb_21","Feb_21|BOUG-01|T1",0,42
"2",12.7,6.35,0,22.22,0,0,6.35,3.17,0,7.94,0,19.05,22.22,0,0,0,0,0,"T10",54.7,"Feb-21","BOUG-01","Feb_21","Feb_21|BOUG-01|T10",22.22,41.27
"3",45.9,0,0,13.11,0,0,11.48,0,0,1.64,0,16.39,9.84,0,0,0,0,1.64,"T11",47.4,"Feb-21","BOUG-01","Feb_21","Feb_21|BOUG-01|T11",13.11,26.23
"4",35.21,2.82,0,0,0,0,0,2.82,0,2.82,0,22.54,33.8,0,0,0,0,0,"T12",45.5,"Feb-21","BOUG-01","Feb_21","Feb_21|BOUG-01|T12",0,56.34
"5",36.07,3.28,0,22.95,0,0,3.28,0,0,1.64,0,4.92,27.87,0,0,0,0,0,"T13",45,"Feb-21","BOUG-01","Feb_21","Feb_21|BOUG-01|T13",22.95,32.79
"6",28.75,0,0,22.5,0,6.25,1.25,1.25,0,0,0,5,35,0,0,0,0,0,"T14",43.7,"Feb-21","BOUG-01","Feb_21","Feb_21|BOUG-01|T14",28.75,40
"7",22.08,2.6,0,6.49,0,3.9,1.3,3.9,0,1.3,1.3,7.79,45.45,0,0,0,3.9,0,"T15",38.6,"Feb-21","BOUG-01","Feb_21","Feb_21|BOUG-01|T15",10.39,58.44
"8",30.43,4.35,0,8.7,0,4.35,0,4.35,0,2.9,0,14.49,28.99,0,0,0,1.45,0,"T16",36.4,"Feb-21","BOUG-01","Feb_21","Feb_21|BOUG-01|T16",13.05,44.93
"9",31.75,3.17,0,3.17,0,0,0,1.59,0,1.59,0,12.7,39.68,1.59,0,1.59,3.17,0,"T17",35.1,"Feb-21","BOUG-01","Feb_21","Feb_21|BOUG-01|T17",3.17,57.14
"10",33.8,0,0,23.94,0,0,0,1.41,0,1.41,0,19.72,19.72,0,0,0,0,0,"T18",28.5,"Feb-21","BOUG-01","Feb_21","Feb_21|BOUG-01|T18",23.94,39.44
