T_ID,Code,relief_0,relief_1,relief_2,relief_3,relief_4,slope_<45,slope_>45,slope_0,slope_45,slope_90,fov.open,fov.limited,turf_algae,rock,hydrocoral,halimeda,cca,macroalgae,complex_octocoral,other_octocoral,seagrass,sponge,HC_complex,HC_encrusting,HC_plate,HC_other,HC_bleached,HC_dead,HC_massive_submass,unconsolidated_subs,,Reef,Site,Date,Transect,Lat,Long,Depth,Temperature,Habitat,Survey
BVille_1_Feb2021_T1,BV_1,0,2,49,4,0,0,1,0,0,54,80,20,12,32,0,0,0,0,12,0,0,2,0,30,12,0,0,0,0,0,,Bougainville,BVille_1,22/02/2021,T1,-15.48724,147.09035,65,27.5,outer_reef,Feb-21
BVille_1_Feb2021_T10,BV_10,0,5,37,30,0,0,28,0,0,44,80,20,12.7,6.35,0,22.22,0,0,6.35,3.17,0,7.94,0,19.05,22.22,0,0,0,0,0,,Bougainville,BVille_1,22/02/2021,T10,-15.48724,147.09035,54.7,28,outer_reef,Feb-21
BVille_1_Feb2021_T11,BV_11,0,15,40,17,0,0,14,0,0,58,80,20,45.9,0,0,13.11,0,0,11.48,0,0,1.64,0,16.39,9.84,0,0,0,0,1.64,,Bougainville,BVille_1,22/02/2021,T11,-15.48724,147.09035,47.4,28,outer_reef,Feb-21
BVille_1_Feb2021_T12,BV_12,0,1,32,37,2,0,24,0,0,48,80,20,35.21,2.82,0,0,0,0,0,2.82,0,2.82,0,22.54,33.8,0,0,0,0,0,,Bougainville,BVille_1,22/02/2021,T12,-15.48724,147.09035,45.5,28.1,outer_reef,Feb-21
BVille_1_Feb2021_T13,BV_13,0,7,34,21,0,0,11,0,2,47,80,20,36.07,3.28,0,22.95,0,0,3.28,0,0,1.64,0,4.92,27.87,0,0,0,0,0,,Bougainville,BVille_1,22/02/2021,T13,-15.48724,147.09035,45,28.1,outer_reef,Feb-21
BVille_1_Feb2021_T14,BV_14,0,0,53,23,4,0,15,0,0,66,99,1,28.75,0,0,22.5,0,6.25,1.25,1.25,0,0,0,5,35,0,0,0,0,0,,Bougainville,BVille_1,22/02/2021,T14,-15.48724,147.09035,43.7,28.3,outer_reef,Feb-21
BVille_1_Feb2021_T15,BV_15,0,0,20,56,1,0,0,0,0,77,100,0,22.08,2.6,0,6.49,0,3.9,1.3,3.9,0,1.3,1.3,7.79,45.45,0,0,0,3.9,0,,Bougainville,BVille_1,22/02/2021,T15,-15.48724,147.09035,38.6,28.6,outer_reef,Feb-21
BVille_1_Feb2021_T16,BV_16,0,0,26,47,5,0,47,0,0,31,80,20,30.43,4.35,0,8.7,0,4.35,0,4.35,0,2.9,0,14.49,28.99,0,0,0,1.45,0,,Bougainville,BVille_1,22/02/2021,T16,-15.48724,147.09035,36.4,28.9,outer_reef,Feb-21
BVille_1_Feb2021_T17,BV_17,0,0,31,28,5,0,10,0,0,54,80,20,31.75,3.17,0,3.17,0,0,0,1.59,0,1.59,0,12.7,39.68,1.59,0,1.59,3.17,0,,Bougainville,BVille_1,22/02/2021,T17,-15.48724,147.09035,35.1,28.9,outer_reef,Feb-21
BVille_1_Feb2021_T18,BV_18,0,1,21,51,0,0,1,0,0,72,80,20,33.8,0,0,23.94,0,0,0,1.41,0,1.41,0,19.72,19.72,0,0,0,0,0,,Bougainville,BVille_1,22/02/2021,T18,-15.48724,147.09035,28.5,29.1,outer_reef,Feb-21
BVille_1_Feb2021_T19,BV_19,0,1,19,47,2,0,7,0,0,62,80,20,24.62,4.62,0,10.77,0,0,0,1.54,0,1.54,3.08,38.46,6.15,0,0,0,9.23,0,,Bougainville,BVille_1,22/02/2021,T19,-15.48724,147.09035,22.3,29.2,outer_reef,Feb-21
BVille_1_Feb2021_T2,BV_2,0,3,45,7,1,0,0,0,0,56,80,20,10.64,31.91,0,0,0,0,14.89,0,0,0,0,8.51,34.04,0,0,0,0,0,,Bougainville,BVille_1,22/02/2021,T2,-15.48724,147.09035,66.7,27.5,outer_reef,Feb-21
BVille_1_Feb2021_T3,BV_3,0,0,65,9,3,0,47,0,1,29,100,0,35.29,22.06,0,4.41,0,0,11.76,0,0,1.47,0,2.94,20.59,0,0,0,0,1.47,,Bougainville,BVille_1,22/02/2021,T3,-15.48724,147.09035,66.3,27.5,outer_reef,Feb-21
BVille_1_Feb2021_T4,BV_4,0,0,82,0,0,0,75,0,2,5,100,0,37.18,12.82,0,0,0,0,17.95,1.28,0,1.28,0,7.69,20.51,1.28,0,0,0,0,,Bougainville,BVille_1,22/02/2021,T4,-15.48724,147.09035,67.8,27.5,outer_reef,Feb-21
