"","New_ID","Site","Transect.x","Depth_m","Benthic_Complexity","cropper","browser","detritivore","excavator","scraper","turf_algae","rock","hydrocoral","halimeda","cca","macroalgae","complex_octocoral","other_octocoral","seagrass","sponge","HC_complex","HC_encrusting","HC_plate","HC_other","HC_bleached","HC_dead","HC_massive_submass","unconsolidated_subs","Transect.y","Depth","Survey","Site_recode","Survey_recode","total_macroalgae","total_hard_coral"
"1","Feb_21|BOUG-01|T1|65","BOUG-01","T1",65,5,1,0,0,0,0,12,32,0,0,0,0,12,0,0,2,0,30,12,0,0,0,0,0,"T1",65,"Feb-21","BOUG-01","Feb_21",0,42
"2","Feb_21|BOUG-01|T10|54.7","BOUG-01","T10",54.7,5,0,0,0,0,1,12.7,6.35,0,22.22,0,0,6.35,3.17,0,7.94,0,19.05,22.22,0,0,0,0,0,"T10",54.7,"Feb-21","BOUG-01","Feb_21",22.22,41.27
"3","Feb_21|BOUG-01|T12|45.5","BOUG-01","T12",45.5,5,1,0,0,0,1,35.21,2.82,0,0,0,0,0,2.82,0,2.82,0,22.54,33.8,0,0,0,0,0,"T12",45.5,"Feb-21","BOUG-01","Feb_21",0,56.34
"4","Feb_21|BOUG-01|T16|36.4","BOUG-01","T16",36.4,5,2,0,0,0,1,30.43,4.35,0,8.7,0,4.35,0,4.35,0,2.9,0,14.49,28.99,0,0,0,1.45,0,"T16",36.4,"Feb-21","BOUG-01","Feb_21",13.05,44.93
"5","Feb_21|BOUG-01|T17|35.1","BOUG-01","T17",35.1,5,5,0,1,0,0,31.75,3.17,0,3.17,0,0,0,1.59,0,1.59,0,12.7,39.68,1.59,0,1.59,3.17,0,"T17",35.1,"Feb-21","BOUG-01","Feb_21",3.17,57.14
"6","Feb_21|BOUG-01|T18|28.5","BOUG-01","T18",28.5,4,2,0,0,0,0,33.8,0,0,23.94,0,0,0,1.41,0,1.41,0,19.72,19.72,0,0,0,0,0,"T18",28.5,"Feb-21","BOUG-01","Feb_21",23.94,39.44
"7","Feb_21|BOUG-01|T19|22.3","BOUG-01","T19",22.3,3,1,0,0,0,0,24.62,4.62,0,10.77,0,0,0,1.54,0,1.54,3.08,38.46,6.15,0,0,0,9.23,0,"T19",22.3,"Feb-21","BOUG-01","Feb_21",10.77,56.92
"8","Feb_21|BOUG-01|T2|66.7","BOUG-01","T2",66.7,5,1,0,0,0,1,10.64,31.91,0,0,0,0,14.89,0,0,0,0,8.51,34.04,0,0,0,0,0,"T2",66.7,"Feb-21","BOUG-01","Feb_21",0,42.55
"9","Feb_21|BOUG-01|T4|67.8","BOUG-01","T4",67.8,5,0,0,0,0,4,37.18,12.82,0,0,0,0,17.95,1.28,0,1.28,0,7.69,20.51,1.28,0,0,0,0,"T4",67.8,"Feb-21","BOUG-01","Feb_21",0,29.48
"10","Feb_21|BOUG-01|T6|58.1","BOUG-01","T6",58.1,4,2,0,0,0,4,21.92,19.18,0,0,0,0,2.74,10.96,0,0,0,27.4,17.81,0,0,0,0,0,"T6",58.1,"Feb-21","BOUG-01","Feb_21",0,45.21
"11","Feb_21|BOUG-01|T7|57.8","BOUG-01","T7",57.8,5,2,0,0,0,0,29.23,4.62,0,0,0,0,9.23,10.77,0,6.15,0,16.92,23.08,0,0,0,0,0,"T7",57.8,"Feb-21","BOUG-01","Feb_21",0,40
"12","Feb_21|BOUG-01|T8|57.2","BOUG-01","T8",57.2,5,3,0,0,0,0,36.51,1.59,0,0,0,0,0,20.63,0,1.59,0,3.17,30.16,0,0,0,0,6.35,"T8",57.2,"Feb-21","BOUG-01","Feb_21",0,33.33
"13","Feb_21|FLIN-01|T1|35.6","FLIN-01","T1",35.6,4,6,1,2,0,0,22.73,9.09,6.06,0,0,54.55,4.55,0,0,0,0,0,0,1.52,0,0,1.52,0,"T1",35.6,"Feb-21","FLIN-01","Feb_21",54.55,3.04
"14","Feb_21|FLIN-01|T2|37.1","FLIN-01","T2",37.1,4,0,0,1,3,2,21.43,10,0,27.14,0,31.43,4.29,0,0,0,0,1.43,1.43,0,0,0,2.86,0,"T2",37.1,"Feb-21","FLIN-01","Feb_21",58.57,5.72
"15","Feb_21|FLIN-01|T3|42.1","FLIN-01","T3",42.1,3,1,0,0,0,0,35.71,8.57,0,28.57,0,8.57,8.57,0,0,0,1.43,2.86,2.86,0,0,0,2.86,0,"T3",42.1,"Feb-21","FLIN-01","Feb_21",37.14,10.01
"16","Feb_21|FLIN-01|T4|35.2","FLIN-01","T4",35.2,3,2,0,1,0,0,52.17,8.7,0,5.8,0,20.29,1.45,0,0,0,0,4.35,5.8,0,0,0,1.45,0,"T4",35.2,"Feb-21","FLIN-01","Feb_21",26.09,11.6
"17","Feb_21|FLIN-01|T6|34.3","FLIN-01","T6",34.3,3,1,0,0,0,0,51.39,16.67,0,8.33,0,12.5,0,0,0,1.39,0,0,8.33,0,0,0,1.39,0,"T6",34.3,"Feb-21","FLIN-01","Feb_21",20.83,9.72
"18","Feb_21|FLIN-01|T7|45.2","FLIN-01","T7",45.2,4,0,0,0,1,0,7.81,10.94,0,79.69,0,0,0,0,0,0,0,0,0,0,0,0,1.56,0,"T7",45.2,"Feb-21","FLIN-01","Feb_21",79.69,1.56
"19","Feb_21|FLIN-02|T4|40","FLIN-02","T4",40,0,0,0,4,0,0,6.67,0,0,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,86.67,"T4",40,"Feb-21","FLIN-02","Feb_21",6.67,0
"20","Feb_21|FLIN-02|T5|41.5","FLIN-02","T5",41.5,0,1,0,0,0,0,6.67,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,90,"T5",41.5,"Feb-21","FLIN-02","Feb_21",3.33,0
"21","Feb_21|FLIN-02|T6|43.3","FLIN-02","T6",43.3,0,10,0,0,0,0,10.94,0,0,0,0,9.38,4.69,1.56,0,0,0,0,1.56,0,0,0,4.69,67.19,"T6",43.3,"Feb-21","FLIN-02","Feb_21",9.38,6.25
"22","Feb_21|FLIN-02|T7|44","FLIN-02","T7",44,1,3,0,0,1,0,7.58,0,0,3.03,0,9.09,6.06,1.52,0,1.52,0,0,1.52,0,0,1.52,0,68.18,"T7",44,"Feb-21","FLIN-02","Feb_21",12.12,1.52
"23","Feb_21|FRED-01|T1|34.8","FRED-01","T1",34.8,1,7,0,1,0,0,0,1.52,0,0,0,62.12,0,0,0,0,0,0,0,0,0,0,4.55,31.82,"T1",34.8,"Feb-21","FRED-01","Feb_21",62.12,4.55
"24","Feb_21|HERA-01|T2|35.3","HERA-01","T2",35.3,2,0,0,8,0,0,0,3.39,0,1.69,0,20.34,1.69,0,0,0,3.39,0,1.69,0,0,0,0,67.8,"T2",35.3,"Feb-21","HERA-01","Feb_21",22.03,5.08
"25","Feb_21|HERA-01|T4|43.5","HERA-01","T4",43.5,2,8,0,1,0,0,0,0,0,5.66,0,0,0,0,0,0,0,0,0,0,0,0,0,94.34,"T4",43.5,"Feb-21","HERA-01","Feb_21",5.66,0
"26","Feb_21|HERA-01|T5|43.8","HERA-01","T5",43.8,2,9,0,1,0,1,0,4.65,0,0,0,68.6,4.65,0,0,0,0,0,1.16,0,0,0,0,20.93,"T5",43.8,"Feb-21","HERA-01","Feb_21",68.6,1.16
"27","Feb_21|HERA-01|T6|41.7","HERA-01","T6",41.7,2,18,2,4,0,0,0,0,0,0,0,60.47,8.14,0,0,1.16,1.16,0,0,2.33,0,0,0,26.74,"T6",41.7,"Feb-21","HERA-01","Feb_21",60.47,3.49
"28","Feb_21|HERA-01|T7|40.5","HERA-01","T7",40.5,2,10,1,8,0,8,0,0,0,0,0,58.97,0,0,0,0,2.56,0,0,0,0,0,1.28,37.18,"T7",40.5,"Feb-21","HERA-01","Feb_21",58.97,3.84
"29","Feb_21|HERA-01|T8|40.4","HERA-01","T8",40.4,2,20,0,3,4,1,0,10,0,0,0,47.5,2.5,0,0,0,0,1.25,0,3.75,0,0,0,35,"T8",40.4,"Feb-21","HERA-01","Feb_21",47.5,5
"30","Feb_21|HERA-01|T9|37.1","HERA-01","T9",37.1,3,14,3,8,0,3,0,1.47,0,0,0,58.82,7.35,0,0,0,1.47,0,0,5.88,0,0,0,25,"T9",37.1,"Feb-21","HERA-01","Feb_21",58.82,7.35
"31","Feb_21|HERM-01|T1|46.2","HERM-01","T1",46.2,1,10,0,2,0,6,0,10,0,2.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,75,"T1",46.2,"Feb-21","HERM-01","Feb_21",15,0
"32","Feb_21|HERM-01|T2|46.6","HERM-01","T2",46.6,1,9,0,0,0,1,2.17,4.35,0,10.87,0,19.57,2.17,0,0,2.17,0,0,0,0,0,0,0,58.7,"T2",46.6,"Feb-21","HERM-01","Feb_21",30.44,0
"33","Feb_21|HERM-01|T4|47.1","HERM-01","T4",47.1,0,1,0,0,0,0,0,0,0,7.32,0,0,0,0,0,0,0,0,0,0,0,0,0,92.68,"T4",47.1,"Feb-21","HERM-01","Feb_21",7.32,0
"34","Feb_21|HOLM-02|T1|62.7","HOLM-02","T1",62.7,3,2,0,0,0,0,25.4,6.35,0,15.87,0,1.59,33.33,0,0,4.76,0,0,0,0,0,0,0,12.7,"T1",62.7,"Feb-21","HOLM-02","Feb_21",17.46,0
"35","Feb_21|HOLM-02|T10|37","HOLM-02","T10",37,2,10,0,2,0,1,15.62,0,3.12,0,0,21.88,12.5,1.56,0,4.69,1.56,3.12,3.12,0,0,0,3.12,29.69,"T10",37,"Feb-21","HOLM-02","Feb_21",21.88,10.92
"36","Feb_21|HOLM-02|T2|63.7","HOLM-02","T2",63.7,3,6,0,0,0,0,17.65,0,0,19.12,0,5.88,26.47,0,0,2.94,1.47,7.35,4.41,1.47,0,0,1.47,11.76,"T2",63.7,"Feb-21","HOLM-02","Feb_21",25,16.17
"37","Feb_21|HOLM-02|T4|63.2","HOLM-02","T4",63.2,4,4,2,0,0,0,14.86,0,0,25.68,0,1.35,28.38,0,0,2.7,0,0,0,0,0,0,0,27.03,"T4",63.2,"Feb-21","HOLM-02","Feb_21",27.03,0
"38","Feb_21|HOLM-02|T6|56.6","HOLM-02","T6",56.6,3,3,0,0,0,0,14.71,2.94,1.47,8.82,0,4.41,26.47,1.47,0,8.82,2.94,10.29,0,0,0,0,0,17.65,"T6",56.6,"Feb-21","HOLM-02","Feb_21",13.23,13.23
"39","Feb_21|HOLM-02|T7|54.5","HOLM-02","T7",54.5,4,3,0,0,0,0,17.65,0,0,41.18,0,1.47,20.59,0,0,2.94,1.47,4.41,1.47,1.47,0,0,0,7.35,"T7",54.5,"Feb-21","HOLM-02","Feb_21",42.65,8.82
